name,p_cross_rate,c_cross_rate,p_events,c_events,p_cross_c_events
CAMS-CSM1-0,0.3108069896697998,0.11395825445652008,0.074,0.3,0.054
BCC-CSM2-MR,0.6955388188362122,0.008971838280558586,0.016,0.738,0.016
BCC-ESM1,0.9149670600891113,0.004025683272629976,0.024390243902439025,0.9889135254988913,0.024390243902439025
ACCESS-ESM1-5,0.8263325095176697,0.08255010843276978,0.4,1.0,0.4
ACCESS-CM2,0.7593012452125549,0.002005279529839754,0.01,0.98,0.01
GFDL-CM4,0.013016737066209316,0.024706117808818817,0.01,0.064,0.008
GFDL-ESM4,0.10242369771003723,0.09048910439014435,0.06,0.344,0.032
INM-CM4-8,0.0,,0.0,0.0,0.0
SAM0-UNICON,0.0,,0.0,0.0,0.0
CIESM,,,,,
CESM2,,,,,
CESM2-FV2,,,,,
CESM2-WACCM,,,,,
CESM2-WACCM-FV2,0.0,,0.0,0.0,0.0
CAS-ESM2-0,0.0,0.0,0.0,0.01,0.0
FGOALS-g3,0.15694189071655273,0.5353991389274597,0.978,0.684,0.672
NESM3,,,0.024,0.582,0.014
CanESM5,0.0,0.0,0.0,0.0,0.0
CanESM5-1,0.0,0.0,0.0,0.0,0.0
CanESM5-CanOE,0.0,0.0,0.0,0.0,0.0
HadGEM3-GC31-LL,0.20474955439567566,0.006716941483318806,0.006,0.506,0.004
HadGEM3-GC31-MM,0.004126214887946844,0.014461096376180649,0.002,0.892,0.002
UKESM1-0-LL,0.05198829248547554,0.008576059713959694,0.002,0.016,0.002
UKESM1-1-LL,0.05700325593352318,0.06761973351240158,0.0021645021645021645,0.006493506493506494,0.0
EC-Earth3,0.12150568515062332,0.04056250676512718,0.062,0.718,0.056
EC-Earth3-CC,0.18429027497768402,0.04593845084309578,0.084,0.83,0.084
EC-Earth3-Veg,0.15258461236953735,0.05951210483908653,0.104,0.756,0.092
EC-Earth3-Veg-LR,0.13057321310043335,0.02615794539451599,0.068,0.874,0.068
EC-Earth3-AerChem,0.2542347311973572,0.05938509479165077,0.106,0.846,0.106
CNRM-CM6-1,0.0,0.0,0.0,0.942,0.0
CNRM-CM6-1-HR,0.00902636256068945,0.06060359254479408,0.006666666666666667,0.16,0.0
CNRM-ESM2-1,0.202659010887146,0.00588992889970541,0.006,0.938,0.006
CMCC-CM2-SR5,0.0,0.0,0.0,0.0,0.0
CMCC-ESM2,0.0,0.0,0.0,0.0,0.0
IPSL-CM6A-LR,0.0,0.0,0.0,0.37,0.0
IPSL-CM6A-MR1,0.0,0.0,0.0,0.042,0.0
GISS-E2-1-H,0.0,0.0,0.0,0.0,0.0
E3SM-1-0,0.0,,0.0,0.0,0.0
E3SM-2-0,0.0,,0.0,0.0,0.0
E3SM-2-0-NARRM,0.0,,0.0,0.0,0.0
NorCPM1,0.0,,0.006,0.0,0.0
NorESM2-MM,0.8063440918922424,0.27593469619750977,0.802,1.0,0.802
NorESM2-LM,0.7165003418922424,0.27591729164123535,0.562,1.0,0.562
MPI-ESM-1-2-HAM,0.06105610728263855,0.005753079429268837,0.088,0.926,0.08
MPI-ESM1-2-HR,0.069070965051651,0.051736872643232346,0.368,0.96,0.344
MPI-ESM1-2-LR,0.06193218007683754,0.03805944323539734,0.268,0.954,0.25
MIROC6,0.18762002885341644,2.7581405447563156e-05,0.0,1.0,0.0
MIROC-ES2L,,0.0,0.0,1.0,0.0
MIROC-ES2H,0.5,2.6384315788163804e-05,0.0,1.0,0.0
