,institution_id,source_id,member_id,grid_label,zstore_siconc,version,zstore_so,version_x,zstore_thetao,version_y,xname,yname,lonname,latname,zname,type,type_ice,zstore_hfds,zstore_mlotst,zstore_sithick,zstore_tos,zstore_sos,zstore_sivol,resolution
0,CAMS,CAMS-CSM1-0,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/CAMS/CAMS-CSM1-0/piControl/r1i1p1f1/SImon/siconc/gn/v20190729/,20190729,gs://cmip6/CMIP6/CMIP/CAMS/CAMS-CSM1-0/piControl/r1i1p1f1/Omon/so/gn/v20190729/,20190729,gs://cmip6/CMIP6/CMIP/CAMS/CAMS-CSM1-0/piControl/r1i1p1f1/Omon/thetao/gn/v20190729/,20190729,i,j,longitude,latitude,lev,MOM,SIS,gs://cmip6/CMIP6/CMIP/CAMS/CAMS-CSM1-0/piControl/r1i1p1f1/Omon/hfds/gn/v20190729/,,,gs://cmip6/CMIP6/CMIP/CAMS/CAMS-CSM1-0/piControl/r1i1p1f1/Omon/tos/gn/v20190729/,,gs://cmip6/CMIP6/CMIP/CAMS/CAMS-CSM1-0/piControl/r1i1p1f1/SImon/sivol/gn/v20190729/,360 x 200
1,BCC,BCC-CSM2-MR,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/piControl/r1i1p1f1/SImon/siconc/gn/v20200219/,20200219,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/piControl/r1i1p1f1/Omon/so/gn/v20181015/,20181015,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/piControl/r1i1p1f1/Omon/thetao/gn/v20181015/,20181015,lon,lat,longitude,latitude,lev,MOM,SIS,,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/piControl/r1i1p1f1/Omon/mlotst/gn/v20181015/,,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/piControl/r1i1p1f1/Omon/tos/gn/v20181015/,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/piControl/r1i1p1f1/Omon/sos/gn/v20181015/,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/piControl/r1i1p1f1/SImon/sivol/gn/v20181012/,360 x 232
2,BCC,BCC-ESM1,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/SImon/siconc/gn/v20200219/,20200219,gs://cmip6/CMIP6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Omon/so/gn/v20181218/,20181218,gs://cmip6/CMIP6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Omon/thetao/gn/v20181218/,20181218,lon,lat,longitude,latitude,lev,MOM,SIS,,gs://cmip6/CMIP6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Omon/mlotst/gn/v20181218/,,gs://cmip6/CMIP6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Omon/tos/gn/v20181218/,gs://cmip6/CMIP6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Omon/sos/gn/v20181218/,gs://cmip6/CMIP6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/SImon/sivol/gn/v20181214/,360 x 232
3,KIOST,KIOST-ESM,r1i1p1f1,gr1,,,,,,,lon,lat,,,lev,MOM,SIS,,gs://cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/Omon/mlotst/gr1/v20200825/,,gs://cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/Omon/tos/gr1/v20200924/,gs://cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/Omon/sos/gr1/v20200825/,,360 x 200
4,CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/SImon/siconc/gn/v20210316/,20210316,gs://cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Omon/so/gn/v20191214/,20191214,gs://cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Omon/thetao/gn/v20191214,20191214,i,j,longitude,latitude,lev,MOM,CICE,gs://cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Omon/hfds/gn/v20191214/,,gs://cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/SImon/sithick/gn/v20200817/,gs://cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Omon/tos/gn/v20210316/,gs://cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Omon/sos/gn/v20210316/,gs://cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/SImon/sivol/gn/v20200817/,360 x 300
5,CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/SImon/siconc/gn/v20200817/,20200817,gs://cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Omon/so/gn/v20191112/,20191112,gs://cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Omon/thetao/gn/v20191112/,20191112,i,j,longitude,latitude,lev,MOM,CICE,gs://cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Omon/hfds/gn/v20191112/,gs://cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Omon/mlotst/gn/v20191112/,gs://cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/SImon/sithick/gn/v20200817/,gs://cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Omon/tos/gn/v20191112/,gs://cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Omon/sos/gn/v20191112/,gs://cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/SImon/sivol/gn/v20200817/,360 x 300 
6,NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/SImon/siconc/gn/v20180701/,20180701,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/Omon/so/gn/v20180701/,20180701,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/Omon/thetao/gn/v20180701/,20180701,x,y,lon,lat,lev,MOM,SIS,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/Omon/hfds/gn/v20180701/,,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/SImon/sithick/gn/v20180701/,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/Omon/tos/gn/v20190201/,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/Omon/sos/gn/v20180701/,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/SImon/sivol/gn/v20180701/,1440 x 1080
7,NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/SImon/siconc/gn/v20180701/,20180701,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/Omon/so/gn/v20180701/,20180701,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/Omon/thetao/gn/v20180701/,20180701,x,y,lon,lat,lev,MOM,SIS,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/Omon/hfds/gn/v20180701/,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/Omon/mlotst/gn/v20180701/,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/SImon/sithick/gn/v20180701/,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/Omon/tos/gn/v20180701/,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/Omon/sos/gn/v20180701/,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/SImon/sivol/gn/v20180701/,720 x 576
8,AS-RCEC,TaiESM1,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/SImon/siconc/gn/v20200309/,20200309,gs://cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Omon/so/gn/v20210213/,20210213,gs://cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Omon/thetao/gn/v20210213/,20210213,i,j,longitude,latitude,lev,POP,CICE,gs://cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Omon/hfds/gn/v20210213/,,,,,gs://cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/SImon/sivol/gn/v20200309/,320 x 384
9,SNU,SAM0-UNICON,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/piControl/r1i1p1f1/SImon/siconc/gn/v20190910/,20190910,gs://cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/piControl/r1i1p1f1/Omon/so/gn/v20190910/,20190910,gs://cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/piControl/r1i1p1f1/Omon/thetao/gn/v20190910/,20190910,i,j,longitude,latitude,lev,POP,CICE,gs://cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/piControl/r1i1p1f1/Omon/hfds/gn/v20190910/,,gs://cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/piControl/r1i1p1f1/SImon/sithick/gn/v20190910/,gs://cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/piControl/r1i1p1f1/Omon/tos/gn/v20190910/,gs://cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/piControl/r1i1p1f1/Omon/sos/gn/v20190910/,gs://cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/piControl/r1i1p1f1/SImon/sivol/gn/v20190910/,320 x 384
