institution_id,source_id,member_id,grid_label,zstore_siconc,version,zstore_so,version_x,zstore_thetao,version_y,xname,yname,lonname,latname,zname,type
BCC,BCC-CSM2-MR,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/piControl/r1i1p1f1/SImon/siconc/gn/v20200219/,20200219,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/piControl/r1i1p1f1/Omon/so/gn/v20181015/,20181015,gs://cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/piControl/r1i1p1f1/Omon/thetao/gn/v20181015/,20181015,lon,lat,longitude,latitude,lev,MOM
BCC,BCC-ESM1,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/SImon/siconc/gn/v20200219/,20200219,gs://cmip6/CMIP6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Omon/so/gn/v20181218/,20181218,gs://cmip6/CMIP6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Omon/thetao/gn/v20181218/,20181218,lon,lat,longitude,latitude,lev,MOM
CAMS,CAMS-CSM1-0,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/CAMS/CAMS-CSM1-0/piControl/r1i1p1f1/SImon/siconc/gn/v20190729/,20190729,gs://cmip6/CMIP6/CMIP/CAMS/CAMS-CSM1-0/piControl/r1i1p1f1/Omon/so/gn/v20190729/,20190729,gs://cmip6/CMIP6/CMIP/CAMS/CAMS-CSM1-0/piControl/r1i1p1f1/Omon/thetao/gn/v20190729/,20190729,i,j,longitude,latitude,lev,MOM
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/SImon/siconc/gn/v20210316/,20210316,gs://cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Omon/so/gn/v20191214/,20191214,gs://cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Omon/thetao/gn/v20191214,20191214,i,j,longitude,latitude,lev,MOM
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/SImon/siconc/gn/v20200817/,20200817,gs://cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Omon/so/gn/v20191112/,20191112,gs://cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Omon/thetao/gn/v20191112/,20191112,i,j,longitude,latitude,lev,MOM
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/SImon/siconc/gn/v20180701/,20180701,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/Omon/so/gn/v20180701/,20180701,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/Omon/thetao/gn/v20180701/,20180701,x,y,lon,lat,lev,MOM
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/SImon/siconc/gn/v20180701/,20180701,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/Omon/so/gn/v20180701/,20180701,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/Omon/thetao/gn/v20180701/,20180701,x,y,lon,lat,lev,MOM
KIOST,KIOST-ESM,r1i1p1f1,gr1,,,,,,,lon,lat,,,lev,MOM
NUIST,NESM3,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/NUIST/NESM3/piControl/r1i1p1f1/SImon/siconc/gn/v20190704/,20190704,gs://cmip6/CMIP6/CMIP/NUIST/NESM3/piControl/r1i1p1f1/Omon/so/gn/v20190704/,20190704,gs://cmip6/CMIP6/CMIP/NUIST/NESM3/piControl/r1i1p1f1/Omon/thetao/gn/v20190704/,20190704,i,j,longitude,latitude,lev,NEMO
CCCma,CanESM5,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/SImon/siconc/gn/v20190429/,20190429,gs://cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/Omon/so/gn/v20190429/,20190429,gs://cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/Omon/thetao/gn/v20190429/,20190429,i,j,longitude,latitude,lev,NEMO
