name,p_criteria,p_mean,p_max,p_total,p_freq,c_mean,c_max,c_total,c_freq
CAMS-CSM1-0,45.1095546875,0.019841032102704048,0.5679891109466553,1.831577714688,0.068,0.5618929266929626,2.273608446121216,3.627181146112,0.98
BCC-CSM2-MR,41.829125,0.0034271462354809046,0.410951167345047,0.900218683392,0.013333333333333334,1.125672459602356,3.546410083770752,6.040611454976,0.912
BCC-ESM1,45.9279509077051,0.003859933465719223,0.4051184058189392,0.936952528896,0.017738359201773836,2.151609420776367,3.3964579105377197,5.067755225088,0.9977827050997783
ACCESS-ESM1-5,40.13330078125,0.13443255424499512,1.0070176124572754,3.760228663296,0.378,1.8217649459838867,3.0977327823638916,5.964293472256,1.0
ACCESS-CM2,48.77208984375,0.0010507359402254224,0.16197094321250916,0.399028846592,0.008,0.8261511325836182,2.24607515335083,5.322810851328,1.0
GFDL-CM4,47.91664453125,0.00191025179810822,0.34169530868530273,0.51779600384,0.008,0.022334229201078415,0.5642519593238831,2.99134877696,0.58
GFDL-ESM4,37.58940625,0.011366543360054493,0.39146003127098083,2.365438820352,0.054,0.15334951877593994,1.6599832773208618,4.836404232192,0.582
INM-CM4-8,37.535265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAM0-UNICON,49.28208984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIESM,49.97158984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CESM2,49.529890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CESM2-FV2,48.92117578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CESM2-WACCM,49.306307928356716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CESM2-WACCM-FV2,48.30056640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAS-ESM2-0,42.5057421875,0.0,0.0,0.0,0.0,0.008532634004950523,0.18321068584918976,0.21318238208,0.196
FGOALS-g3,50.7122109375,0.4795025587081909,1.6968740224838257,8.070088359936,0.8928571428571429,0.2313472032546997,1.20106041431427,3.063829757952,0.992
NESM3,51.16349609375,0.003773309988901019,0.35634082555770874,0.964618682368,0.018,0.18645520491233128,0.7929698845440054,4.014616623737048,0.73
CanESM5,45.9153828125,0.0,0.0,0.0,0.0,0.0005371670122258365,0.05279497802257538,0.141974994944,0.108
CanESM5-1,48.493125,0.0,0.0,0.0,0.0,0.0032527418807148933,0.11770102381706238,0.243514998784,0.31736526946107785
CanESM5-CanOE,47.63861328125,0.0,0.0,0.0,0.0,0.0008499945397488773,0.08487048745155334,0.18512551936,0.12
HadGEM3-GC31-LL,52.1550703125,0.0013343305326998234,0.35428285598754883,1.56329181184,0.0085,0.13727843761444092,0.6370614767074585,2.99770707968,0.798
HadGEM3-GC31-MM,43.37201171875,0.000542526482604444,0.2712632417678833,0.27126325248,0.002,0.44517919421195984,0.955272376537323,2.067303366656,0.968
UKESM1-0-LL,57.19944921875,0.0003084900963585824,0.18434108793735504,0.325811142656,0.002127659574468085,0.004176243208348751,0.18298310041427612,1.047728553984,0.144
UKESM1-1-LL,56.829321394751084,0.0,0.0,0.0,0.0,0.0011840207735076547,0.12389130145311356,0.236835782656,0.048859934853420196
EC-Earth3,40.90544140625,0.009195899590849876,0.4633834958076477,1.357673398272,0.05189620758483034,0.21851138770580292,0.9211280345916748,3.79379908608,0.958
EC-Earth3-CC,33.10501953125,0.01518792100250721,0.4866223633289337,2.717967187968,0.07722772277227723,0.3814113736152649,1.5654828548431396,6.582079848448,0.972
EC-Earth3-Veg,36.70748046875,0.015271252952516079,0.5612735152244568,3.56048437248,0.0775,0.2926922142505646,1.4952472448349,5.250312830976,0.978
EC-Earth3-Veg-LR,37.86480078125,0.011489851400256157,0.3078160583972931,2.168592531456,0.06387225548902195,0.3738085925579071,1.5395053625106812,5.92466935808,0.99
EC-Earth3-AerChem,38.76737890625,0.02266314998269081,0.7135798335075378,2.755661398016,0.09780439121756487,0.4148057997226715,1.4162466526031494,6.14974881792,0.98
CNRM-CM6-1,53.6132421875,0.0,0.0,0.0,0.0,0.3358021378517151,0.808500349521637,1.244155871232,0.996
CNRM-CM6-1-HR,49.66104166666667,0.00044628873001784086,0.13388662040233612,0.133886623744,0.0033333333333333335,0.13674817979335785,1.4743400812149048,2.728169570304,0.21333333333333335
CNRM-ESM2-1,49.398125,0.0015449462225660682,0.3569868505001068,0.543619252224,0.006,0.4241320788860321,1.0858100652694702,3.774062002176,0.99
CMCC-CM2-SR5,51.4499296875,0.0,0.0,0.0,0.0,0.00014033271872904152,0.02110607922077179,0.055144833024,0.03
CMCC-ESM2,50.71449609375,0.0,0.0,0.0,0.0,0.00016057993343565613,0.046379704028367996,0.070894321664,0.02
IPSL-CM6A-LR,50.18557421875,7.053738954709843e-05,0.1410747766494751,0.141074776064,0.0005,0.17924600839614868,1.3140957355499268,2.97535275008,0.778
IPSL-CM6A-MR1,50.25659375,0.0,0.0,0.0,0.0,0.019058868288993835,0.22261396050453186,0.706286911488,0.498
GISS-E2-1-H,52.21637800851247,0.0,0.0,0.0,0.0,0.0012264365795999765,0.08923055976629257,0.178636406784,0.02493765586034913
E3SM-1-0,49.64490234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E3SM-2-0,50.84349609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E3SM-2-0-NARRM,51.51041796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NorCPM1,51.38728515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NorESM2-MM,38.6903046875,0.4969741106033325,0.9991348385810852,2.596173512704,0.716,1.8332514762878418,2.6364450454711914,5.718878978048,1.0
NorESM2-LM,37.82265234375,0.2550482749938965,0.9919434189796448,2.858042785792,0.3313373253493014,1.6863173246383667,2.662804126739502,5.170643075072,1.0
MPI-ESM-1-2-HAM,30.020017578125,0.015546995215117931,0.8107383847236633,2.89894301696,0.059,0.5962998867034912,2.22100567817688,5.378626551808,0.996
MPI-ESM1-2-HR,46.44651953125,0.15192925930023193,1.1899405717849731,5.131295260672,0.372,0.44148895144462585,1.2749137878417969,3.841887567872,0.998
MPI-ESM1-2-LR,38.38209765625,0.0802871435880661,1.2699549198150635,6.592553025536,0.245,0.48829618096351624,1.2819925546646118,4.44688498688,0.996
