name,p_criteria,p_mean,p_max,p_total,p_freq,c_mean,c_max,c_total,c_freq,t_mean55,t_mean_p,t_mean_c,s_mean55,s_mean_p,s_mean_c,ice_mean55,ice_mean_p,ice_mean_c,thick_m55,thick_mp,thick_mc,hfds_m55,hfds_mp,hfds_mc,mld_m55,mld_mp,mld_mc,tann_55,tann_p,tann_c,sann_55,sann_p,sann_c
CAMS-CSM1-0,45.1095546875,0.022714434191584587,0.5810521245002747,1.974133850112,0.128,0.14523297548294067,1.792128562927246,2.56405798912,0.528,-0.38926002383232117,-1.6176189184188843,-1.6235387325286865,34.026065826416016,34.24327087402344,34.23808288574219,51.39716720581055,80.33749389648438,78.431640625,0.3263896107673645,0.3548709452152252,0.35701972246170044,-45.601173400878906,-53.32244110107422,-49.33918380737305,194.9990525301284,434.288248222046,392.7216598177771,1.400713562965393,0.36215439438819885,0.38778388500213623,33.84992980957031,34.07074737548828,34.06272888183594
BCC-CSM2-MR,41.829125,0.0049696494825184345,0.42100879549980164,0.99280289792,0.032,1.125672459602356,3.546410083770752,6.040611454976,0.912,-0.42841142416000366,-1.0933568477630615,-1.213401436805725,34.08847427368164,34.31080627441406,34.24287033081055,48.0282096862793,52.06938552856445,56.56319808959961,0.3559907078742981,0.3027937710285187,0.3377508223056793,,,,413.2550354003906,1480.67041015625,928.0030517578125,0.5084669589996338,0.05998978018760681,-0.041949979960918427,33.960750579833984,34.1887092590332,34.11540985107422
BCC-ESM1,45.9279509077051,0.005292723421007395,0.43306711316108704,1.257248653312,0.03547671840354767,2.151609420776367,3.3964576721191406,5.067755225088,0.9977827050997783,-0.4715235233306885,-0.9741615056991577,-1.1605215072631836,33.97213363647461,34.265098571777344,34.19196701049805,51.208343505859375,32.29082107543945,48.385990142822266,0.3915751576423645,0.1977149397134781,0.2821691334247589,,,,513.3778686523438,3075.94091796875,1858.6744384765625,0.4706079959869385,0.4040489196777344,0.11042186617851257,33.823516845703125,34.16469192504883,34.06904983520508
ACCESS-ESM1-5,40.43489453125,0.15990719199180603,1.0193266868591309,3.909805408256,0.58,1.8217649459838867,3.0977325439453125,5.964293472256,1.0,-0.764339029788971,-1.7203967571258545,-1.763492226600647,34.1466178894043,34.449710845947266,34.42264175415039,58.33167266845703,69.30673217773438,77.38417053222656,1.0952883958816528,0.80961674451828,0.972584068775177,-48.3172721862793,-66.23312377929688,-54.577301025390625,423.33740234375,1968.970947265625,1362.396484375,0.5590262413024902,-0.17468000948429108,-0.580923318862915,33.9700927734375,34.25408935546875,34.22085189819336
ACCESS-CM2,48.77208984375,0.00197271048091352,0.18100224435329437,0.443960066048,0.034,0.8261511325836182,2.24607515335083,5.322810851328,1.0,-0.9495447278022766,-1.7671343088150024,-1.8142461776733398,34.122352600097656,34.40046310424805,34.311920166015625,60.42621612548828,89.6934814453125,89.69010925292969,0.9334442615509033,0.9607898592948914,1.065983772277832,-51.30034637451172,-83.02680206298828,-53.112613677978516,326.1568298339844,1859.2244873046875,804.7822265625,0.3408861756324768,-1.1689718961715698,-1.0243148803710938,33.896026611328125,34.145652770996094,34.01002883911133
GFDL-CM4,47.91664453125,0.004445328842848539,0.3993842303752899,0.706149285888,0.754,0.022334229201078415,0.5642521381378174,2.991349039104,0.58,-0.9773558974266052,-1.719889521598816,-1.7791030406951904,34.158817291259766,34.322654724121094,34.382389068603516,67.27877807617188,88.60437774658203,92.44905853271484,0.5154960751533508,0.5595447421073914,0.701252281665802,-42.95291519165039,-49.79258728027344,-35.02946853637695,173.135117502296,187.7575175925385,206.95960071664558,0.009654083289206028,-1.0185070037841797,-1.156043291091919,33.97450637817383,34.15009307861328,34.178016662597656
GFDL-ESM4,37.58940625,0.015978394076228142,0.3715592324733734,2.760389951488,0.376,0.15334951877593994,1.6599832773208618,4.836404232192,0.582,-0.843911349773407,-1.6908743381500244,-1.7272027730941772,34.10533142089844,34.35368728637695,34.34425735473633,61.505279541015625,83.42182159423828,84.91717529296875,0.45541346073150635,0.5481224656105042,0.591655433177948,-45.20305252075195,-54.669586181640625,-44.27687072753906,165.7786865234375,303.0572814941406,278.3303527832031,0.23859341442584991,-0.8800565600395203,-0.9023866057395935,33.94097137451172,34.178611755371094,34.159584045410156
INM-CM4-8,37.535265625,2.090075213345699e-05,0.005322975572198629,0.010450376704,0.004,0.0,0.0,0.0,0.0,0.1021646186709404,-1.5887672901153564,,20.304725646972656,33.78975296020508,,39.06729507446289,35.943485260009766,,,,,,,,136.28689573486227,69.20158839092824,,0.8865527510643005,0.2763982117176056,,20.226167678833008,33.7004508972168,
SAM0-UNICON,49.28208984375,1.2899277862743475e-05,0.0034119810443371534,0.006449638912,0.004,0.0,0.0,0.0,0.0,-1.1018705368041992,-1.7856380939483643,,33.929141998291016,34.393245697021484,,63.07801818847656,78.6844253540039,,0.7638482451438904,1.4091439247131348,,46.767398834228516,47.46976852416992,,132.99208635217153,196.2457913975469,,-0.2935890257358551,-1.2489063739776611,,33.71888732910156,33.99809265136719,
CIESM,49.97158984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34821707010269165,,,33.85700225830078,,,45.9444580078125,,,0.8259880542755127,,,-50.290428161621094,,,132.75270927571998,,,1.1342486143112183,,,33.64917755126953,,
