name,p_cross,c_cross,carea_vs_parea_c,carea_vs_parea_p,carea_vs_sic_c,carea_vs_sic_p,carea_vs_mld_c,carea_vs_mld_p,carea_vs_thick_c,carea_vs_thick_p,carea_vs_hfds_c,carea_vs_hfds_p,carea_vs_sst_c,carea_vs_sst_p,carea_vs_sos_c,carea_vs_sos_p,carea_vs_sst_ann_c,carea_vs_sst_ann_p,carea_vs_sos_ann_c,carea_vs_sos_ann_p,parea_vs_sic_c,parea_vs_sic_p,parea_vs_mld_c,parea_vs_mld_p,parea_vs_thick_c,parea_vs_thick_p,parea_vs_hfds_c,parea_vs_hfds_p,parea_vs_sst_c,parea_vs_sst_p,parea_vs_sos_c,parea_vs_sos_p,parea_vs_sst_ann_c,parea_vs_sst_ann_p,parea_vs_sos_ann_c,parea_vs_sos_ann_p,sic_vs_mld_c,sic_vs_mld_p,sic_vs_thick_c,sic_vs_thick_p,sic_vs_hfds_c,sic_vs_hfds_p,sic_vs_sst_c,sic_vs_sst_p,sic_vs_sos_c,sic_vs_sos_p,sic_vs_sst_ann_c,sic_vs_sst_ann_p,sic_vs_sos_ann_c,sic_vs_sos_ann_p,mld_vs_thick_c,mld_vs_thick_p,mld_vs_hfds_c,mld_vs_hfds_p,mld_vs_sst_c,mld_vs_sst_p,mld_vs_sos_c,mld_vs_sos_p,mld_vs_sst_ann_c,mld_vs_sst_ann_p,mld_vs_sos_ann_c,mld_vs_sos_ann_p,thick_vs_hfds_c,thick_vs_hfds_p,thick_vs_sst_c,thick_vs_sst_p,thick_vs_sos_c,thick_vs_sos_p,thick_vs_sst_ann_c,thick_vs_sst_ann_p,thick_vs_sos_ann_c,thick_vs_sos_ann_p,hfds_vs_sst_c,hfds_vs_sst_p,hfds_vs_sos_c,hfds_vs_sos_p,hfds_vs_sst_ann_c,hfds_vs_sst_ann_p,hfds_vs_sos_ann_c,hfds_vs_sos_ann_p,sst_vs_sos_c,sst_vs_sos_p,sst_vs_sst_ann_c,sst_vs_sst_ann_p,sst_vs_sos_ann_c,sst_vs_sos_ann_p,sos_vs_sst_ann_c,sos_vs_sst_ann_p,sos_vs_sos_ann_c,sos_vs_sos_ann_p,sst_ann_vs_sos_ann_c,sst_ann_vs_sos_ann_p
CAMS-CSM1-0,0.3108069896697998,0.11395825445652,0.0577649297244321,0.0577649297244321,-0.1253172177831841,-0.1678024261193191,0.0668211938823058,0.0884752946720678,-0.1673518520228801,-0.204529543609484,,,0.066238417481834,0.1092348115904594,0.1273699451760701,0.1613791143118912,0.0934166242059759,0.1190957266375357,0.1340160463375632,0.1640571274796189,-0.9241073014295204,-0.9239125913118752,0.998764437174539,0.9914448142656804,-0.7054239924562062,-0.6878920908266299,,,0.9803217490029345,0.9680826744830684,0.8436069563323373,0.8280995005483314,0.8474866112628475,0.8507558096157841,0.8324080968447563,0.8368528091748448,-0.9276869242873076,-0.937915017079992,0.8336027827813172,0.8032097027103761,,,-0.9511916353678436,-0.953541410299782,-0.7886980476027712,-0.8059408066137874,-0.8944614593442448,-0.8834770313699114,-0.8734150965153676,-0.8669465114490011,-0.7028240439012482,-0.6945410036633847,,,0.980367794662615,0.975442854724422,0.8450772353139978,0.8411531964990419,0.843562919229873,0.8461570265359681,0.8290782071203078,0.836363140446129,,,-0.7430594529976383,-0.7315605793421518,-0.5785775815973756,-0.6005913760242128,-0.8422350411929495,-0.8320598725660913,-0.83525375224119,-0.8359005510384465,,,,,,,,,0.8354639866114264,0.8365220416944363,0.8653109816346386,0.8570969884138049,0.8421890994399098,0.8426913927546247,0.7145324024515357,0.7176041183827601,0.8649219511258613,0.8642165579550901,0.8892304262331131,0.8949299356370967
BCC-CSM2-MR,0.6955388188362122,0.0089718382805585,-0.0550639921695721,-0.0550639921695721,0.0867770929846232,0.0358896456499535,-0.0639232417667323,-0.0180349880977926,0.0552739165423755,-0.0020595032930057,,,-0.0980767615518941,-0.0582878013447466,-0.0726977000762866,-0.023579896620309,-0.0909429476117698,-0.0736964019832466,-0.0831745850491345,-0.0500320686628683,-0.8883937041627757,-0.8445514597549502,0.9862996123781388,0.8444162954096084,-0.8427358745573441,-0.8151265762445927,,,0.8648053992466138,0.8082965711258265,0.943317916466123,0.8229904763893432,0.8577194203996832,0.8489010854932303,0.926961670580808,0.8437490980054749,-0.905025610488403,-0.8279625304344383,0.9729830239112354,0.9322010134791162,,,-0.9783183395864488,-0.9636410252929538,-0.9415137937560516,-0.9093297480648196,-0.9763322365565744,-0.967090001666788,-0.9650987611356951,-0.9358501738346762,-0.8668047656413954,-0.7315666672829115,,,0.8692912096173719,0.7916015229247526,0.948253124616926,0.9041594029519696,0.8754557071056672,0.8119219901455417,0.9451313100045938,0.9088824954776964,,,-0.946110965799945,-0.8971285165319128,-0.9033674938785016,-0.8194548126469792,-0.961648470168058,-0.939538114375298,-0.940914153524627,-0.8699529354285676,,,,,,,,,0.9355871314929394,0.9330691525451535,0.9775575923220552,0.9550927864170512,0.9431330326377556,0.9238283766298748,0.9215608754597174,0.9013072934968306,0.984965178443214,0.9733454193863312,0.9442968410664528,0.9341312695518446
BCC-ESM1,0.9149670600891112,0.0040256832726299,-0.1894310689024231,-0.1894310689024231,0.2043541655270357,0.1975830367454396,-0.1938084331463668,-0.175671045931147,0.1262150325342351,0.1096821599488538,,,-0.199670262607102,-0.1858360395995592,-0.1855601360948289,-0.1893021144003671,-0.1928126980202199,-0.1956164119256157,-0.1858309388436632,-0.1988954056143868,-0.7731049742811277,-0.7889238626844356,0.9864889512381096,0.9270133674601267,-0.7767677618700107,-0.77621120372606,,,0.7322815482903771,0.7300219856237896,0.8928826634751528,0.8682000432974188,0.7213884046713037,0.7501389617448208,0.8518917332274129,0.8698210797528526,-0.8059035287982909,-0.7945667558374381,0.9507673585526708,0.9172593484573976,,,-0.9677651902545108,-0.9521026781970388,-0.917803781453468,-0.9376489115696586,-0.9540407764699076,-0.93624782948784,-0.9458915305337312,-0.9491021396528998,-0.8024248163443494,-0.7320219935298848,,,0.7467040107930322,0.6888722348525846,0.8986367848020957,0.8483184975220177,0.7551881353434968,0.730138207985022,0.876083608866466,0.8570816738843933,,,-0.9078454908210476,-0.8879456437037411,-0.8997424456832921,-0.8764680513822887,-0.9362429162527068,-0.927702212701198,-0.9439561325265146,-0.9223494420042252,,,,,,,,,0.9160588359785864,0.9390646498647536,0.9440158556318852,0.9268373383764325,0.919726372397184,0.9078039963187028,0.8915228846199149,0.9004098951791039,0.971164760376732,0.9605760335493496,0.9298071598561406,0.9354388934670348
ACCESS-ESM1-5,0.8263325095176697,0.0825501084327697,0.1832270153759225,0.1832270153759225,-0.2151061672510168,-0.2308937535505639,0.2120785513336177,0.2120868944893422,-0.2119844022036416,-0.2501856882998821,-0.2163546798586128,-0.2302157454538514,0.0772800769339913,0.0712831098853265,0.1112633728140799,0.1292537683848759,0.0498644995304577,0.0327623765249321,0.1068888165891422,0.1196741780741297,-0.6126443801394323,-0.6107338006037631,0.9875179450545252,0.9711421807373026,-0.0834669425495663,-0.0852230142084392,-0.6780986802799776,-0.6712304376968145,0.2137420756268918,0.2012495589483726,0.2277407135087783,0.2366317933205934,0.1452914902020205,0.1350321749477661,0.1802628781418281,0.1966416633014343,-0.6566021698605958,-0.6331772860352635,0.2689634374684171,0.2356084464034346,0.6809514635479007,0.6593744099235065,-0.0572396601061078,-0.0540423268088085,-0.0832347038073074,-0.0955963506761147,-0.059912242237827,-0.0508889727778382,-0.0852040205504607,-0.1028573575002266,-0.1584621677848821,-0.1346297004549045,-0.6948701341130751,-0.6812039783536986,0.1992074923036833,0.1777991531098726,0.2170936752233372,0.222176017789965,0.1361881529035438,0.1165297259755361,0.1745742985950402,0.187757155050946,0.1546408503450005,0.149408788567511,-0.0730797086320857,-0.0436785466774502,-0.0372261050309647,-0.0368559640164102,-0.066283150455752,-0.0491498601785923,-0.0916063149025098,-0.0604865212133227,-0.0802619813868385,-0.0740008626333921,-0.1986166128251254,-0.1697405769896964,-0.078392116022531,-0.0639279038270017,-0.159842583948481,-0.1353540612894139,0.5202816927278257,0.5568170043696727,0.3642567682118942,0.3612936002895288,0.572790986240054,0.6404232995411275,0.2276802372855101,0.2371166217663463,0.8697587528456483,0.8498594856365124,0.2530801907252763,0.3723364996545336
ACCESS-CM2,0.7593012452125549,0.0020052795298397,0.0164873528989859,0.0164873528989859,-0.2526595261581809,-0.5669211945919976,0.0346273175054442,0.1000162486983823,-0.233755363653277,-0.2626228485394666,-0.2185015860720288,-0.4357622592033326,0.2494218140271024,0.4543219900321895,0.0559795889798846,0.2176626366130304,0.1650838591010823,0.2799084144746501,0.0912500746040992,0.2128642818754716,-0.5097726806437555,-0.2413742228421081,0.9844931149661932,0.694941863946269,-0.2490947137109314,-0.3928854631976258,-0.5969626386667697,-0.3783529927308206,0.3341908687819693,0.278763412486138,0.7346599019760666,0.5899116032390963,-0.1014505029120589,-0.006150348245216,0.7125482099359417,0.4128105620217452,-0.538633113345542,-0.3503768418941105,0.4097489444614875,0.5138366206896917,0.7866565169991035,0.8565787302953048,-0.7700440076578062,-0.9006084676001771,-0.4218633117101633,-0.5222995290894283,-0.0421372508294856,-0.3556307609241456,-0.4517542421194191,-0.3489704527348267,-0.2859011799701212,-0.6313778463934036,-0.6433240910379844,-0.5739669179383453,0.3681980531053812,0.4445256311597414,0.736356726242218,0.7963639089104744,-0.0839433764211432,0.2169847842949471,0.7254081573101274,0.6141960703647148,0.4119016743876726,0.6974017230569384,-0.373187979905077,-0.643945331104445,-0.0688426113975815,-0.6130699756820513,-0.5931903958452007,-0.4724117922204708,-0.1934691902935744,-0.4914681855472881,-0.6243623534606423,-0.848310953434734,-0.4749649177647885,-0.6568140808252464,-0.0143024356012348,-0.3691429971852117,-0.4936135701307401,-0.4577002343699538,0.2758412479455461,0.6069208642661014,0.136442282486628,0.3880921397029581,0.268890966282807,0.3843422305250316,-0.2027440865462943,0.3266125234340757,0.8462524857219572,0.7088901220832603,-0.2858040673204127,0.4893905458494693
GFDL-CM4,0.0130167370662093,0.0247061178088188,0.2088423347693592,0.2088423347693592,-0.2454182769105474,-0.3819296119121575,0.2147365002742167,0.3561520636223945,-0.1813127048835641,-0.3090317462257909,-0.352335598402337,-0.5066027073393865,0.241456652666107,0.3894590762434597,0.1811928206378522,0.2218508610423037,0.1211552172326835,0.2405864325529626,0.1799033111874397,0.2236623707279075,-0.8981242872578209,-0.8588325505964283,0.9474975603031456,0.8803508820148528,-0.5504222153149377,-0.5732969708459209,-0.7560653108584091,-0.7667428846608673,0.9275802099338886,0.8651146069988208,0.3754732674262636,0.4056452545413023,0.5980912322804376,0.702591260749596,0.4425218132608171,0.454449369172145,-0.8686131251321462,-0.9437600829082552,0.6508663523656137,0.7621537419931909,0.8682705089191942,0.9233457165811316,-0.9581199981309294,-0.9625944864232832,-0.495752125439952,-0.5413543334588518,-0.6544916867664388,-0.7931452661117048,-0.5686166251424082,-0.5925032322720065,-0.5209290887913586,-0.6576480340653228,-0.8109268810400387,-0.860794626749028,0.8649662432436468,0.9560725324392734,0.5621017898140955,0.5136276087335422,0.5821949291046127,0.7277407829968353,0.6131738975413394,0.5505771602036463,0.5465676208374093,0.7572440300871296,-0.5957874923646069,-0.6608516949410637,-0.2307287341681929,-0.6822695425679779,-0.6659679647654179,-0.7774672414567221,-0.3837831864201514,-0.751996781690052,-0.8240924672354499,-0.8815295534694191,-0.5751100454567636,-0.6075227533779406,-0.5544081418806606,-0.7523362622447906,-0.6243177342364952,-0.6473810459231479,0.3955652471992021,0.4418695278818257,0.6354553620734837,0.7303728085372724,0.4692662174058074,0.4898971946825577,0.2779901060826599,0.5669092639785742,0.945866579184816,0.9715455407325642,0.3506590645852768,0.6434183689389518
GFDL-ESM4,0.1024236977100372,0.0904891043901443,0.1339732127001681,0.1339732127001681,-0.2194125668260837,-0.25006025733954,0.1515712343225356,0.1864945382241241,-0.2572514900043666,-0.2494347803813656,-0.2486146963848352,-0.2855535611538821,0.1448166407325421,0.1746765678580959,0.1521879338026767,0.188387160459721,0.2475886679993401,0.2507595495378315,0.2129357852326241,0.234088815529734,-0.8475304497407946,-0.84765761148956,0.9891529006813142,0.9768155704669516,-0.7407679899473161,-0.7269298100855505,-0.761859361083346,-0.6771198811027541,0.8489922006934714,0.8251123035284517,0.4662079008807132,0.5447261006478357,0.7765712054498007,0.7827104401239237,0.6124860796073132,0.6588034771916779,-0.846367031875631,-0.8670082020806431,0.8368990388495537,0.8377492325014463,0.8844010651536889,0.8643481539106852,-0.9468124401827506,-0.9478507356581064,-0.5521023012303381,-0.6357208352590857,-0.8441189045490668,-0.8688622440344305,-0.6948382982705404,-0.7419451568716596,-0.7481619038947647,-0.774754456457261,-0.7805343975101536,-0.6973690113754897,0.8281568644486759,0.8250435527545347,0.5443137169347696,0.5736192342762275,0.7666314008131238,0.8194172626116123,0.6807553499057216,0.695479704742739,0.7144711885890248,0.6916492126285576,-0.7448284643750621,-0.7491221189068307,-0.4617342629609917,-0.5745264666384028,-0.9031593922930662,-0.8965626670520371,-0.6676792654458186,-0.7386492431369418,-0.8505186133015058,-0.8577456264494003,-0.6785056139332494,-0.7325859677301202,-0.7149129211169307,-0.6948037472250057,-0.7533532183934555,-0.7578203953880307,0.4863663112922934,0.5879951740964269,0.7864607461795546,0.802335441067598,0.6068853141232905,0.6667695856887331,0.3940346696913974,0.5132906306487474,0.9499337007186118,0.9552676681973904,0.5877988278415144,0.6762399389613705
INM-CM4-8,0.0,,,,,0.0318536603867782,,0.0038459048743206,,,,,,-0.0476576311166782,,0.0228911318156296,,-0.0190905958119444,,0.0058959282158746,,,,,,,,,,,,,,,,,,-0.4784748948428554,,,,,,-0.8250061660588912,,-0.121339673793516,,-0.6371443732161799,,-0.2663009280522185,,,,,,0.4303745241941807,,0.0939063722214099,,0.3531970859533285,,0.1582481858882593,,,,,,,,,,,,,,,,,,,,0.1846597341892001,,0.6623685869419628,,0.2694110749984723,,0.1582062784714317,,0.8505144249307504,,0.3301318979355311
SAM0-UNICON,0.0,,,,,-0.10735058653301398,,0.019347176474994468,,-0.03241871063391186,,,,0.04757428569515651,,-0.010957832567517999,,-0.0248057400572573,,-0.03194955091003326,,,,,,,,,,,,,,,,,,-0.0702233203292489,,-0.12027838908322322,,,,-0.021301373010113592,,-0.05241739785596723,,-0.06681797777888421,,-0.19259065372407747,,-0.3174313588519838,,,,0.7071606324696706,,0.5895440783256058,,-0.35245492688638114,,0.25287103735509014,,,,-0.2010837629971701,,-0.38599483818079644,,-0.1073685588229233,,-0.12726828644517862,,,,,,,,,,0.4850133040009805,,-0.260333457185015,,0.22530080597039198,,-0.2157732562120151,,0.6030462424755118,,0.12691753884338278
CIESM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
