name,t_mean_p_diff,t_mean_c_diff,s_mean_p_diff,s_mean_c_diff,ice_mean_p_diff,ice_mean_c_diff,thick_mp_diff,thick_mc_diff,hfds_mp_diff,hfds_mc_diff,mld_mp_diff,mld_mc_diff,tann_p_diff,tann_c_diff,sann_p_diff,sann_c_diff
CAMS-CSM1-0,-1.2283586263656616,-1.2342795133590698,0.21719764173030853,0.21200792491436005,28.940282821655273,27.034408569335938,0.028481323271989822,0.03063025325536728,-7.721294403076172,-3.737981081008911,239.2891956919178,197.72260728764903,-1.0385591983795166,-1.0129297971725464,0.22081735730171204,0.21279413998126984
BCC-CSM2-MR,-0.6649453043937683,-0.7849904894828796,0.22234705090522766,0.1544228047132492,4.041164398193359,8.534995079040527,-0.053196948021650314,-0.01823984645307064,,,1067.4151611328125,514.7489624023438,-0.4484771490097046,-0.5504170060157776,0.22795847058296204,0.15465889871120453
BCC-ESM1,-0.502638041973114,-0.6889976859092712,0.29296258091926575,0.21983423829078674,-18.91750717163086,-2.82232403755188,-0.19386041164398193,-0.10940618067979813,,,2562.5634765625,1345.2952880859375,-0.0665590837597847,-0.3601861298084259,0.34117308259010315,0.24553216993808746
ACCESS-ESM1-5,-0.9560591578483582,-0.999152421951294,0.30308112502098083,0.27602243423461914,10.975111961364746,19.052465438842773,-0.2856714725494385,-0.1227034255862236,-17.91585350036621,-6.260037899017334,1545.634033203125,939.0582885742188,-0.7337063550949097,-1.139949083328247,0.2839796543121338,0.25077009201049805
ACCESS-CM2,-0.8175883889198303,-0.8647021651268005,0.27812841534614563,0.18956586718559265,29.267200469970703,29.263931274414062,0.027345944195985794,0.13253873586654663,-31.726430892944336,-1.8122453689575195,1533.0701904296875,478.6257629394531,-1.5098583698272705,-1.3652008771896362,0.24961508810520172,0.1140056848526001
GFDL-CM4,-0.7425339818000793,-0.8017440438270569,0.16386142373085022,0.22370822727680206,21.32564926147461,25.170246124267578,0.04404899477958679,0.18575429916381836,-6.8397321701049805,7.923449993133545,14.622400090242161,33.82448321434933,-1.0281611680984497,-1.1656955480575562,0.17558370530605316,0.20352457463741302
GFDL-ESM4,-0.8469612002372742,-0.8832893371582031,0.24821752309799194,0.2389298975467682,21.916614532470703,23.41202735900879,0.09270942956209183,0.13624240458011627,-9.466623306274414,0.926190972328186,137.27740478515625,112.55155944824219,-1.1186493635177612,-1.1409817934036255,0.23765435814857483,0.21863757073879242
INM-CM4-8,-1.690932035446167,,13.485017776489258,,-3.1238226890563965,,,,,,-67.08530734393403,,-0.6101545691490173,,13.474281311035156,
SAM0-UNICON,-0.683768630027771,,0.46412530541419983,,15.606419563293457,,0.6452967524528503,,0.7023748159408569,,63.253705045375526,,-0.9553174376487732,,0.27920499444007874,
CIESM,,,,,,,,,,,,,,,,
