name,p_criteria,p_mean,p_max,p_total,p_freq,c_mean,c_max,c_total,c_freq,t_mean55,t_mean_p,t_mean_c,s_mean55,s_mean_p,s_mean_c,ice_mean55,ice_mean_p,ice_mean_c,thick_m55,thick_mp,thick_mc,hfds_m55,hfds_mp,hfds_mc,mld_m55,mld_mp,mld_mc,tann_55,tann_p,tann_c,sann_55,sann_p,sann_c
CAMS-CSM1-0,45.1095546875,0.019867120310664177,0.5810521245002747,1.927360806912,0.07,0.14523297548294067,1.792128562927246,2.56405798912,0.528,-0.38926002383232117,-1.6171537637710571,-1.6235387325286865,34.026065826416016,34.24431610107422,34.23808288574219,51.39716720581055,80.29936218261719,78.431640625,0.3119552433490753,0.3195083737373352,0.32019567489624023,-45.601173400878906,-53.35274887084961,-49.33918380737305,194.9990525301284,437.7935764710547,392.7216598177771,1.400713562965393,0.3639642596244812,0.38778388500213623,33.84992980957031,34.07222366333008,34.06272888183594
BCC-CSM2-MR,41.829125,0.004249781835824251,0.42100879549980164,0.9043460096,0.016,1.125672459602356,3.546410083770752,6.040611454976,0.912,-0.42841142416000366,-1.0907834768295288,-1.213401436805725,34.08847427368164,34.314369201660156,34.24287033081055,48.0282096862793,51.522586822509766,56.56319808959961,0.3559907078742981,0.296682745218277,0.3377508223056793,,,,413.2550354003906,1503.546875,928.0030517578125,0.5084669589996338,0.0713001936674118,-0.041949979960918427,33.960750579833984,34.193729400634766,34.11540985107422
BCC-ESM1,45.9279509077051,0.0048573995009064674,0.43306711316108704,1.076683145216,0.024390243902439025,2.151609420776367,3.3964576721191406,5.067755225088,0.9977827050997783,-0.4715235233306885,-0.96662437915802,-1.1605215072631836,33.97213363647461,34.27389907836914,34.19196701049805,51.208343505859375,29.75138282775879,48.385990142822266,0.3915751576423645,0.18069379031658173,0.2821691334247589,,,,513.3778686523438,3271.342041015625,1858.6744384765625,0.4706079959869385,0.4329010844230652,0.11042186617851257,33.823516845703125,34.17811965942383,34.06904983520508
ACCESS-ESM1-5,40.13330078125,0.153367817401886,1.0103142261505127,3.586497708032,0.406,1.8217649459838867,3.0977325439453125,5.964293472256,1.0,-0.764339029788971,-1.7219440937042236,-1.763492226600647,34.1466178894043,34.463279724121094,34.42264175415039,58.038570404052734,69.413330078125,76.83879852294922,1.0952883958816528,0.8046021461486816,0.972584068775177,-48.3172721862793,-66.52783203125,-54.577301025390625,423.33740234375,2076.73828125,1362.396484375,0.5590262413024902,-0.20266138017177582,-0.580923318862915,33.9700927734375,34.26697540283203,34.22085189819336
ACCESS-CM2,48.77208984375,0.0013414687709882855,0.18100224435329437,0.349746364416,0.01,0.8261511325836182,2.24607515335083,5.322810851328,1.0,-0.9495447278022766,-1.77242112159729,-1.8142461776733398,34.122352600097656,34.42049026489258,34.311920166015625,60.42621612548828,89.8663101196289,89.69010925292969,0.9334442615509033,0.9874970316886902,1.065983772277832,-51.30034637451172,-78.74730682373047,-53.112613677978516,326.1568298339844,2071.91455078125,804.7822265625,0.3408861756324768,-1.1809542179107666,-1.0243148803710938,33.896026611328125,34.169803619384766,34.01002883911133
GFDL-CM4,47.91664453125,0.0019219325622543693,0.39921456575393677,0.481299300352,0.01,0.022334229201078415,0.5642521381378174,2.991349039104,0.58,-0.9773558974266052,-1.7405107021331787,-1.7791030406951904,34.158817291259766,34.34526062011719,34.382389068603516,67.27877807617188,90.93122100830078,92.44905853271484,0.5154960751533508,0.5487229228019714,0.701252281665802,-42.95291519165039,-44.64631271362305,-35.02946853637695,173.135117502296,187.5394198611156,206.95960071664558,0.009654083289206028,-1.0576201677322388,-1.156043291091919,33.97450637817383,34.199501037597656,34.178016662597656
GFDL-ESM4,37.58940625,0.011076172813773155,0.3632315397262573,2.313262465024,0.054,0.15334951877593994,1.6599832773208618,4.836404232192,0.582,-0.843911349773407,-1.692367434501648,-1.7272027730941772,34.10533142089844,34.367462158203125,34.34425735473633,61.505279541015625,84.12751770019531,84.91717529296875,0.45541346073150635,0.5590823292732239,0.591655433177948,-45.20305252075195,-53.95806121826172,-44.27687072753906,165.7786865234375,318.2042541503906,278.3303527832031,0.23859341442584991,-0.8940074443817139,-0.9023866057395935,33.94097137451172,34.194026947021484,34.159584045410156
INM-CM4-8,37.535265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1021646186709404,,,20.304725646972656,,,39.06729507446289,,,,,,,,,136.28689573486227,,,0.8865527510643005,,,20.226167678833008,,
SAM0-UNICON,49.28208984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1018705368041992,,,33.929141998291016,,,63.07801818847656,,,0.7638482451438904,,,47.213443756103516,,,132.99208635217153,,,-0.2935890257358551,,,33.71888732910156,,
CIESM,49.97158984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34821707010269165,,,33.85700225830078,,,45.9444580078125,,,0.8259880542755127,,,-50.290428161621094,,,132.75270927571998,,,1.1342486143112183,,,33.64917755126953,,
CESM2,49.529890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8685125112533569,,,33.72503662109375,,,56.37852096557617,,,1.2789610624313354,,,-50.31672668457031,,,140.03453063964844,,,0.006888211704790592,,,33.517208099365234,,
CESM2-FV2,48.92117578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8289353847503662,,,33.7951774597168,,,56.65729522705078,,,1.3449944257736206,,,-50.65177917480469,,,129.25357055664062,,,0.2220594733953476,,,33.568336486816406,,
CESM2-WACCM,49.306307928356716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9085534811019897,,,33.758724212646484,,,57.62935256958008,,,1.2961277961730957,,,-49.69350051879883,,,141.4893798828125,,,-0.0671626403927803,,,33.551307678222656,,
CESM2-WACCM-FV2,48.30056640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.745596170425415,,,33.7595100402832,,,55.51054763793945,,,1.2916377782821655,,,-49.489662170410156,,,126.11856079101562,,,0.36286410689353943,,,33.53350830078125,,
CAS-ESM2-0,42.5057421875,0.0,0.0,0.0,0.0,0.008532634004950523,0.18321070075035095,0.21318238208,0.196,-0.8419774770736694,,0.9394373297691345,33.77815628051758,,34.693634033203125,,,,,,,-40.687564849853516,,-112.11699676513672,53.09926986694336,,583.5099487304688,1.5228477716445923,,3.4507992267608643,33.50190353393555,,34.54891586303711
